Код министерства;Наименование министерства;Наименование раздела сайта с декларациями;Ссылка на раздел сайта с декларациями;Год;Наименование файла с декларациями;Ссылка на файл с декларациями;Формат файла
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера лиц, замещающих должности в центральном аппарате Министерства юстиции Российской Федерации и членов их семей за 2018 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2018/;2018;Департамент экономического законодательства;https://minjust.gov.ru/uploaded/files/dez-2018g.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера лиц, замещающих должности в центральном аппарате Министерства юстиции Российской Федерации и членов их семей за 2018 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2018/;2018;Зарубежный аппарат Минюста России;https://minjust.gov.ru/uploaded/files/za-2018.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера лиц, замещающих должности в центральном аппарате Министерства юстиции Российской Федерации и членов их семей за 2018 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2018/;2018;Советники Министра;https://minjust.gov.ru/uploaded/files/sovetnikiministra-2018g.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Аппарат уполномоченного Российской Федерации при Европейском суде по правам человека;https://minjust.gov.ru/uploaded/files/aues-2016-i0.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент регистрации ведомственных нормативных актов;https://minjust.gov.ru/uploaded/files/dva-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент государственной службы и кадров;https://minjust.gov.ru/uploaded/files/dgsk-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент конституционного законодательства, развития федеративных отношений и местного самоуправления;https://minjust.gov.ru/uploaded/files/dkfo-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент международного права и сотрудничества;https://minjust.gov.ru/uploaded/files/dms-2016-i0.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент по делам некоммерческих организаций;https://minjust.gov.ru/uploaded/files/dnko-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент нормативно-правового регулирования, анализа и контроля в сфере исполнения уголовных наказаний и судебных актов;https://minjust.gov.ru/uploaded/files/dnpr-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент организации и контроля;https://minjust.gov.ru/uploaded/files/dok-2016-i10.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент по вопросам правовой помощи и взаимодействия с судебной системой;https://minjust.gov.ru/uploaded/files/dpp-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент развития законодательства;https://minjust.gov.ru/uploaded/files/drz-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент уголовного, административного и процессуального законодательства;https://minjust.gov.ru/uploaded/files/duap-2016-i_pJq7o3j.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент управления делами;https://minjust.gov.ru/uploaded/files/dud-2016-i_BezjrHs.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Департамент экономического законодательства;https://minjust.gov.ru/uploaded/files/dez-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Зарубежный аппарат Минюста России;https://minjust.gov.ru/uploaded/files/za-2016-i.docx;docx
minjust;Министерство юстиции РФ;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Министерства юстиции Российской Федерации, руководителей его территориальных органов и работников организаций, созданных для выполнения задач, поставленных перед Минюстом России, а также членов их семей за 2016 год;https://minjust.gov.ru/ru/pages/protivodejstvie-korrupcii/svedeniya-o-dohodah-rashodah-2016/;2016;Советники Министра;https://minjust.gov.ru/uploaded/files/sovetnikiministra-2016-i.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных гражданских служащих Минкультуры России за отчетный период с 1 января 2019 г. по 31 декабря 2019 г.;https://culture.gov.ru/upload/iblock/e19/e19a8d7c73fba1203c7689ea8fb13116.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2018;Уточненные сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных служащих Минкультуры России за отчетный период с 1 января 2018 г. по 31 декабря 2018 г.;https://culture.gov.ru/upload/iblock/3c8/3c8ae5ebbc3454be74b47be9e794dd2b.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2017;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных гражданских служащих Минкультуры России, их супруг (супругов) и несовершеннолетних детей за период с 1 января 2017 г. по 31 декабря 2017 г.;https://culture.gov.ru/upload/iblock/f4a/f4a8d5112078b04c117b3f74f62988ab.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных служащих Минкультуры России, их супруг (супругов) и несовершеннолетних детей за период с 1 января 2016 г. по 31 декабря 2016 г.;https://culture.gov.ru/upload/iblock/b92/b928edc15b6cc5b06c5d4818a5bce4ef.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2015;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных служащих Минкультуры России, их супруг (супругов) и несовершеннолетних детей за период с 1 января 2015 г. по 31 декабря 2015 г.;https://culture.gov.ru/upload/iblock/279/279cda117b00f27b9b3ad6bea0a34bde.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2014;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных служащих Минкультуры России за период с 1 января 2014 г. по 31 декабря 2014 г.;https://culture.gov.ru/upload/iblock/3a1/3a1e049d495d9b6f16e262db0a42c949.docx;docx
mincult;Министерство культуры РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://culture.gov.ru/activities/anti_corruption/income/;2013;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера государственных служащих Минкультуры России за период с 1 января 2013 г. по 31 декабря 2013 г.;https://culture.gov.ru/upload/iblock/55e/55e6c234d83a0fa2d596825784379063.docx;docx
minobr;Министерство науки и высшего образования РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://www.minobrnauki.gov.ru/ru/activity/anticorr/propertyinfo/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Минобрнауки России за 2019 год;https://www.minobrnauki.gov.ru/common/upload/library/2020/08/main/FGGS_2019.xlsx;xlsx
minobr;Министерство науки и высшего образования РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://www.minobrnauki.gov.ru/ru/activity/anticorr/propertyinfo/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Минобрнауки России за 2018 год;https://www.minobrnauki.gov.ru/common/upload/library/2019/05/main/federalnye_gosudarstvennye_grazhdanskie_sluzhashchie.xlsx;xlsx
minobr;Министерство науки и высшего образования РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://www.minobrnauki.gov.ru/ru/activity/anticorr/propertyinfo/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные Министром науки и высшего образования Российской Федерации за 2018 год;https://www.minobrnauki.gov.ru/common/upload/library/2019/05/main/Ministr.xlsx;xlsx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2019 года по 31 декабря 2019 года;http://www.mnr.gov.ru/upload/iblock/604/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%9F%D0%A0%20%D0%B7%D0%B0%202019.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2018 года по 31 декабря 2018 года;http://www.mnr.gov.ru/upload/iblock/29b/svedinya_mpr.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2017;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии  Российской Федерации за отчетный период с 1 января 2017 года по 31 декабря 2017 года ;http://www.mnr.gov.ru/upload/iblock/5d8/mpr2017.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2016 года по 31 декабря 2016 года;http://www.mnr.gov.ru/upload/iblock/69f/svedeniya2016.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2015;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2015 года по 31 декабря 2015 года ;http://www.mnr.gov.ru/upload/iblock/f60/za2015.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2014;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2014 года по 31 декабря 2014 года ;http://www.mnr.gov.ru/upload/iblock/ca8/doxodi%202014.doc;docx
mnr;Министерство природных ресурсов и экологии РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;http://www.mnr.gov.ru/open_ministry/anticorruption/svedeniya_o_dokhodakh_raskhodakh_ob_imushchestve_i_obyazatelstvakh_imushchestvennogo_kharaktera/;2013;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства природных ресурсов и экологии Российской Федерации за отчетный период с 1 января 2013 года по 31 декабря 2013 года ;http://www.mnr.gov.ru/upload/iblock/ae6/dohod2013.doc;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство) за период с 1 января 2019 г. по 31 декабря 2019 г;https://minpromtorg.gov.ru/common/upload/docVersions/5f0c5c571e628/actual/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE_%D0%9C%D0%B8%D0%BD%D0%BF%D1%80%D0%BE%D0%BC%D1%82%D0%BE%D1%80%D0%B3%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_2020.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственныхгражданских служащих центрального аппарата Минпромторга России, а также их супруги (супруга) и несовершеннолетнихдетей за период с 1 января 2019 г. по 31 декабря 2019 г;https://minpromtorg.gov.ru/common/upload/docVersions/5f22f4e1a0fa4/actual/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F_%D0%A6%D0%90.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство) за период с 1 января 2018 г. по 31 декабря 2018 г;https://minpromtorg.gov.ru/common/upload/docVersions/5ce29aee276c0/actual/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE_2018.doc;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России, а также их супруги (супруга) и несовершеннолетних детей за периодс 1 января 2018 г. по 31 декабря 2018 г;https://minpromtorg.gov.ru/common/upload/docVersions/5ce6d14f33c04/actual/publikaciaCA.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2017;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство) за период с 1 января 2017 г. по 31 декабря 2017 г.;https://minpromtorg.gov.ru/common/upload/docVersions/5afda260c9c66/actual/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE_%D0%9C%D0%B8%D0%BD%D0%BF%D1%80%D0%BE%D0%BC%D1%82%D0%BE%D1%80%D0%B3%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_2017.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2017;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России, а также их супруги (супруга) и несовершеннолетних детей за период с 1 января 2017 г. по 31 декабря 2017 г;https://minpromtorg.gov.ru/common/upload/docVersions/5b046211d9327/actual/%D0%A6%D0%90_%D0%9C%D0%B8%D0%BD%D0%BF%D1%80%D0%BE%D0%BC%D1%82%D0%BE%D1%80%D0%B3%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_2017.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство) за период с 1 января 2016 г. по 31 декабря 2016 г;https://minpromtorg.gov.ru/common/upload/docVersions/5a8bea6b53d1b/actual/Rukovodstvo_Minpromtorga_Rossii.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2016;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России за период с 1 января 2016 г. по 31 декабря 2016 г;https://minpromtorg.gov.ru/common/upload/docVersions/5a8beaab5223d/actual/d2.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2015;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство), а также их супруги (супруга) и несовершеннолетних детей за период с 1 января 2015 г. по 31 декабря 2015 г.;https://minpromtorg.gov.ru/common/upload/docVersions/5a8beb3d0c8c6/actual/Rukovodstvo.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2015;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России и его территориальных органов, а также их супруги (супруга) и несовершеннолетнихдетей за период с 1 января 2015 г. по 31 декабря 2015 г;https://minpromtorg.gov.ru/common/upload/docVersions/5a8beb6c4cdaa/actual/TSentralnyi_apparat.docx;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2014;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России (руководство), а также их супруги (супруга) и несовершеннолетних детей за период с 1 января 2014 г. по 31 декабря 2014 г.;https://minpromtorg.gov.ru/common/upload/docVersions/5a8bebe625652/actual/svedeniya_o_dokhodakh_rukovodstvo_2014.doc;docx
minprom;Министерство промышленности и торговли РФ;Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minpromtorg.gov.ru/open_ministry/anti/;2014;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера федеральных государственных гражданских служащих Минпромторга России и его территориальных органов, а также их супруги (супруга) инесовершеннолетних детей за период с 1 января 2014 г. по 31 декабря 2014 г;https://minpromtorg.gov.ru/common/upload/docVersions/5a8bec3668ed8/actual/Svedeniya_o_dokhodakh_i_raskhodakh_-_tsa_i_terorgany.docx;docx
edu;Министерство просвещения РФ;Противодействие коррупции/Сведения о доходах;https://open.edu.gov.ru/anti-corruption/income;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные федеральными государственными гражданскими служащими Министерства просвещения Российской Федерации за отчетный период с 1 января 2019 года по 31 декабря 2019 года;https://docs.edu.gov.ru/document/2109869846acab2014c38d3763d8f734/download/3042/;xls
minvr;Министерство Российской Федерации по развитию Дальнего Востока и Арктики (Минвостокразвития России);Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minvr.gov.ru/opened-ministry/protivodeystvie-korruptsii/svedeniya-o-dokhodakh/;2019;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные гражданскими служащими Минвостокразвития России, за отчетный период с 01.01.2019 по 31.12.2019;https://minvr.gov.ru/upload/iblock/43c/svedeniya-o-dokhodakh-minvostok.xlsx;xlsx
minvr;Министерство Российской Федерации по развитию Дальнего Востока и Арктики (Минвостокразвития России);Противодействие коррупции/Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера;https://minvr.gov.ru/opened-ministry/protivodeystvie-korruptsii/svedeniya-o-dokhodakh/;2018;Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера, представленные гражданскими служащими Минвостокразвития России, за отчетный период с 01.01.2018 по 31.12.2018;https://minvr.gov.ru/upload/iblock/6ee/2_svedeniya_dlya_sayta_ministerstvo_2018_god.xlsx;xlsx
